smiles,value,target_id
C[C@@H](N[C@@H]1CCN(c2cccc(OC(F)(F)F)c2)C1)c1cccc2ccccc12,[2.3138672203691533],[0]
N=c1ccc(S(=O)(=O)N2CCN(c3ncc(C(O)(C(F)(F)F)C(F)(F)F)cc3-c3ccc4sccc4c3)CC2)c[nH]1,[1.6812412373755872],[0]
OCCn1ccc2ncnc(Nc3ccc(Oc4cccc(OC(F)(F)F)c4)c(Cl)c3)c21,[1.2041199826559248],[0]
Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C,[0.5456842307375743],[0]
COc1ccc(CNC(=O)c2ccc(Oc3ccc(C#C[C@]4(O)CN5CCC4CC5)cc3)cc2)c(OC)c1,[1.2068258760318498],[0]
O=c1cc2c(nn1Cc1ccc(C(F)(F)F)cc1)CCNCC2,[1.0],[0]
CN1CC(n2nccc2-c2cc(Cl)ccc2Oc2cc(F)c(S(=O)(=O)Nc3cscn3)cc2F)C1,[1.4313637641589874],[0]
CN1CCC[C@@H]1C(=O)NC1C2CC3CC(C2)CC1C3,[1.370921165903228],[0]
Cn1cc(-c2ccc(-c3c[nH]c(=N)c4ccc(C(=O)N5CC(F)(F)C5)cc34)cc2)cn1,[2.089905111439398],[0]
COc1ccc(OC)c(-c2cccc3c(N)c(C(=O)NC4CCC4)nnc23)c1,[1.4313637641589874],[0]
N[C@H]1CN(c2ccncc2Nc2ncc3ccc(-c4ncccc4F)nn23)C[C@@H](N)[C@@H]1O,[1.3222192947339193],[0]
COc1ccc(S(=O)(=O)N2C(=O)[C@@](c3cc(CN(C)C)ccc3OC)(N3CCC[C@H]3c3ncco3)c3cc(Cl)ccc32)cc1,[2.3096301674258988],[0]
COCc1cc(OC)c(-c2csc3c(N(CC4CC4)CC4CCCCO4)c(OC)nn23)c(OC)c1,[2.9395192526186187],[0]
C[C@@H]1CN(Cc2ccc(CN(C)C3CCCCC3)cc2)C(=O)O1,[0.9330532103476721],[0]
O=S(=O)(Nc1ccc(-c2cnco2)cc1)c1cc(Cl)cc(Cl)c1,[1.505149978319906],[0]
Fc1ccccc1Cc1nc(-c2n[nH]c(C(F)F)n2)n2ccccc12,[1.792391689498254],[0]
C[C@H]1CN(Cc2ccc(-c3cccnc3C(=O)N3CCC(Cc4ccc(F)cc4)CC3)cc2)C[C@@H](C)N1,[2.550907468934868],[0]
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)CF)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C,[1.034868148291713],[0]
N=c1ccc(S(=O)(=O)N2CCN(c3ncc(C(O)(C(F)(F)F)C(F)(F)F)cc3-c3ccncc3)CC2)c[nH]1,[1.1760912590556813],[0]
CC(=O)Nc1ccc2c(c1)c(Sc1ccc(Cl)cc1)c(C)n2CC(=O)O,[1.5563025007672873],[0]
CN1CCN(Cc2ccc(OC3CN(C(=O)c4nnc(-c5ccccc5)o4)C3)cc2F)CC1,[1.3010299956639813],[0]
Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1-c1cccnc1C(F)(F)F,[2.4800069429571505],[0]
Cc1cc(Cn2c(=O)c3cc(S(=O)(=O)NC4(C)CC4)ccc3n(Cc3cc(C)nn3C)c2=O)on1,[1.568201724066995],[0]
COc1ccc(-c2ccc3c(=O)c(-c4ccc(N5CCC(N(C)C)C5)nc4)coc3c2)c(OC)c1,[1.6043517880898326],[0]
O=C(O)COc1ccc(C(F)(F)F)cc1-c1ccc(Cl)cc1,[1.0413926851582251],[0]
COc1ccc(-c2cc3c(C)[nH]c(=N)nc3n([C@H]3CC[C@@H](OCO)CC3)c2=O)cn1,[1.745855195173729],[0]
Cc1ccc2c(c1)CCN2C(=O)c1ccc2c(c1)N(C1CC1)C(C)C(=O)N2C,[2.041392685158225],[0]
N=C1N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(C3CCCOC3)cc12,[1.5808706923123113],[0]
CCC1Cc2cc(OCc3ccccc3)c(OC)cc2-c2cc(=O)c(C(=O)O)cn21,[0.14612803567823798],[0]
O=C(c1nnc(-c2ccccc2Cl)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1,[1.1139433523068367],[0]
N=C1N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCOCC2)nc1F,[1.6989700043360187],[0]
O=C(NC1CCCCC1)[C@H](C1CCCCC1)n1c(-c2ccc(Cl)cc2)nc2cc(F)c(F)cc21,[2.3443922736851106],[0]
