smiles,value,target_id
CCC(C(N)=O)(C(N)=O)c1ccccc1,[-0.011427223502277055],[8]
NC(=O)N1c2ccccc2C=Cc2ccccc21,[0.05694022318152481],[8]
CCOc1ccc(NC(C)=O)cc1,[0.026877151259245436],[8]
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,[-0.18398038799386912],[8]
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,[0.12495232210436512],[8]
COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,[0.21197999453214206],[8]
Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,[-0.12789581656592822],[8]
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,[-0.016429392726594393],[8]
CN(C)CCC=C1c2ccccc2CCc2ccccc21,[0.24740340155754165],[8]
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,[0.1243842637615452],[8]
CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,[-0.10786698120741692],[8]
CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,[0.18195903750075032],[8]
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,[0.036610990724071646],[8]
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,[0.08616857404699128],[8]
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,[0.08725820618118518],[8]
O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5,[0.15997208028642795],[8]
CSc1ccc(C=C2C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,[-0.1823732214439166],[8]
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,[0.25319671837218044],[8]
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,[0.16279526795077834],[8]
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,[-0.2074341555121798],[8]
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,[0.09309836533914406],[8]
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,[0.06455834233763386],[8]
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,[0.3499750773822302],[8]
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,[0.09681798529094252],[8]
CC(C)NCC(O)COc1cccc2[nH]ccc12,[0.11332168908288202],[8]
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,[0.2147719605357034],[8]
